method,method_label,m,disc_star_mc_mean,disc_star_mc_std,nn_min_mean,nn_min_std,nn_mean_mean,nn_mean_std,nn_median_mean,nn_median_std,phi_q1_mean,phi_q1_std,phi_q10_mean,phi_q10_std
addrec,Additive Recurrence,10,0.1889033159476155,0.02081922564563779,0.1598924519647738,1.3311106448512297e-16,0.2407318971479751,0.018806348532080457,0.22073949417774066,0.08331824394377671,2.1613458954256455,0.03246737219407678,4.696141023548213,0.10350368731948423
addrec,Additive Recurrence,100,0.041233277630181156,0.006191336360781925,0.02226404177916517,3.5286049411953744e-15,0.024510887000013082,0.001010480199408167,0.022264041779171833,1.3206487533937501e-15,3.014291771682406,0.006744902546795012,28.75321644562144,0.022379986891695295
addrec,Additive Recurrence,1000,0.00632777951140389,0.0004978672087445614,0.022264041779112,1.5575150945935847e-14,0.022297881147835395,1.533730026758605e-05,0.02226404177915676,0.0,2.8862108713942463,0.00033332211647024663,24.00445305589023,0.001409317089921364
halton,Halton,10,0.21777826837979272,0.02539683813347071,0.17411582193066066,0.015365035521976576,0.23741752682689082,0.02438231496112112,0.23819443533451504,0.04261321301707521,2.1866324600522082,0.10702339801522195,4.207689566159658,0.3830146695032054
halton,Halton,100,0.027198868708242136,0.002673303579173765,0.027397663221060208,0.009235528008312033,0.06784146612359807,0.004045629011351582,0.06786997031078969,0.003906991913141864,2.6898174172971316,0.020182951791944896,20.572416660022714,12.045252512978259
halton,Halton,1000,0.004518568353111133,0.00037915948173476564,0.00505063176967473,0.002123119049662931,0.02033843174567889,0.00047152822836815444,0.020711748520827605,0.000599373309021309,2.879285973400234,0.0021062634626609214,76.00220102833353,42.127317135886635
lhs,Uniform Projection (LHS),10,0.21978372762954912,0.06257890376881285,0.15298435333637705,0.0445396739438364,0.21884217467914646,0.04137173212601437,0.2013774130951373,0.05619142484354849,2.3156266826639866,0.21869653539278042,4.986028004792222,1.2860152757956766
lhs,Uniform Projection (LHS),100,0.05039228047929789,0.004543742685016836,0.016856598246805198,0.004883700742861068,0.05542052136574181,0.002220064101161518,0.05100350754333236,0.0012845872328369357,2.813961594651476,0.008397621451199226,28.971936761067305,9.31369619152077
lhs,Uniform Projection (LHS),1000,0.016415668257214588,0.0014202121132709075,0.0015121767481212033,0.00042107592183550135,0.01611697273997328,0.00020982682449769747,0.015022679576648346,0.0002343126637769421,2.9497752157121293,0.006600979377609054,196.53236989980755,46.41085645795398
random,Random,10,0.3158622802065551,0.02922999250551578,0.10139730832603548,0.04653336469213202,0.1992926412364428,0.04465249154043266,0.1678319707955672,0.03260906904511661,2.52535192272031,0.32728274791467965,8.87287561153308,5.490347280906333
random,Random,100,0.12940542049747422,0.04100408792826391,0.011090675169149484,0.007492615679529148,0.05262323555695988,0.0035517017780985604,0.05024335384129612,0.006105709169802452,2.979371004819589,0.15597314642234156,60.22158530910635,45.57782819435423
random,Random,1000,0.03391002413895551,0.010328102298580997,0.0004056355213518647,0.0003567543693649088,0.01592562098962731,0.00027045922795433913,0.01504464146217776,0.0005744087105664051,2.977837858343709,0.02163895150926687,1306.9439131625718,1241.7527263721477
sobol,Sobol,10,0.20365505339117917,0.05135732858413633,0.15430046130638084,0.029143226198220563,0.2554156710936629,0.01322283427579149,0.2659556304931961,0.02197094830689267,2.1799053013680885,0.161200522036994,4.6641279960841455,0.7656571940332715
sobol,Sobol,100,0.029134076656808873,0.003774250994918279,0.0342694574249093,0.009523709234308186,0.0689598036817474,0.0029989538539919552,0.06845079293557023,0.0023802662178791607,2.686646224901121,0.0175811497383321,14.68425526902783,4.179275881046249
sobol,Sobol,1000,0.004002327041483364,0.0006341629604333977,0.005910901092950853,0.002755650759963584,0.02134026102232426,0.0010726992064097579,0.020525396013032424,0.0018767662475260099,2.872911017914258,0.004392689831915948,56.97718979576399,21.609611750510048
